country,newConfirmed,newFatalities,population,totalConfirmed,totalFatalities,totalRecovered
PR,73.30864198,1.790123457,3195153,15499.0898,426.5102041,678.3700441
PS,6.96,0.05,4569087,24450.28571,221.0857143,18403.17143
PT,349.0188679,14.08490566,10281762,81858.31837,1941.289796,52117.69388
PY,13.31958763,0.134020619,6956071,23821.79592,491.1387755,15631.83265
QA,490.7515152,0.484848485,2781677,94262.33469,144.7469388,85743.46122
RO,132.8682635,8.48502994,19473936,116546.1633,3759.538776,80064.73469
RS,124.8888889,2.555555556,6982084,38754.47755,600.7306122,7847.212245
RU,3254.890244,43.84146341,144478050,940786.0816,15613.32653,693474.2571
RW,6.755319149,0.021276596,12301939,2653.2,15.2244898,2110.187755
SA,1304.359223,10.12621359,33699947,229052.8367,2945.840816,202482.2286
SC,0.127659575,0,96762,93.51020408,0.032653061,79.06122449
SD,79.75789474,4.978947368,41801533,9978.62449,636.4163265,4838.97538
SE,313.4615385,29.04142012,10183175,88496.4,5094.012245,676.1229508
SG,239.7514793,0.147928994,5638676,45166.70204,24.66938776,42010.02449
SI,14.88349515,1.058252427,2067372,13131.39184,326.9591837,926.3183673
SK,15.36633663,0.277227723,5447011,19834.34694,133.8408163,9570.228571
SL,15.50649351,0.662337662,7650154,1580.522449,55.98367347,1144.493878
SM,4.178571429,0.25,33785,774.0816327,41.8244898,589.5877551
SN,51.21212121,0.707070707,15854360,9680.346939,167.2122449,7785.359184
SO,28.51086957,0.945652174,15008154,3529.297959,107.5346939,2275.032653
SR,2.651685393,0.06741573,575991,2523.783673,51.43673469,2236.934694
SS,24.70833333,0.416666667,10975920,1967.089796,36.64897959,820.8285714
ST,9.666666667,0.173913044,211028,872.1888889,14.82222222,723.35
SV,43.34444444,0.855555556,6420744,17858.32653,503.7836735,14198.08571
SX,0.939759036,0.180722892,41486,386.0163265,17.52653061,307.2163265
SY,2.058139535,0.069767442,16906283,2440.55102,118.8,835.8244898
SZ,5.5,0.042553192,1367000,3037.665306,56.95510204,2532.963265
TC,0.142857143,0.011904762,31458,440.5611111,3.855555556,351.4888889
TD,9.584269663,0.831460674,15477751,939.2163265,75.11836735,794.9020408
TG,5.578947368,0.136842105,7889094,1207.012245,28.79183673,889.4408163
TH,19.35185185,0.358024691,69428524,3352.604082,56.8,3101.767347
TL,0.275862069,0,1267972,24.99183673,0,22.74285714
TN,11.25,0.49,11565204,19687.18367,532.5469388,9467.971429
TR,1896.673684,50.38947368,82319724,278268.6367,6707.791837,214883.0857
TT,1.28125,0.083333333,1389858,2887.383333,56.05,2027.183333
TW,2.664670659,0.035928144,23780452,492.9469388,6.844897959,435.5714286
TZ,5.532608696,0.22826087,56318348,127.2244898,5.057142857,41.88979592
UA,337.4736842,9.421052632,44622516,178153.9429,3397.044898,83127.16735
UG,9.425287356,0,42723139,5140.779592,45.86122449,2701.795918
US,12542.09467,685.2485207,327167434,5642704.237,160825.8939,2659717.069
UY,10.81914894,0.255319149,3449299,1874.461224,38.28163265,1503.412245
UZ,58.86956522,0.206521739,32955400,32123.8449,248.5877551,31584.51837
VA,0.127659575,0,1000,14.82040816,0,10.16326531
VC,0.341176471,0,110210,54.7960199,0.119402985,49.84079602
VE,33.42553191,0.287234043,28870195,39195.01633,336.0326531,33749.66531
VG,0.097560976,0.012195122,29802,33.17721519,0.978902954,26.75949367
VI,0.869047619,0.05952381,106977,710.371308,12.30379747,639.7046414
VN,2.066666667,0,95540395,739.0816327,16.53877551,611.4979592
XK,15.82795699,0.35483871,1845300,11428.87755,359.8285714,7922.322449
ZA,749.4752475,15.97029703,57779622,408842.5758,9705.514286,343071.5143
ZM,15.61111111,0.122222222,17351822,8031.330612,178.3755102,7804.885714
ZW,4.534090909,0.045454546,14439018,4246.383673,117.0693878,3224.6
